chown: cannot access `/state/partition1/scratch/pbstmp.385842.rocks.hpc.ntnu.no': No such file or directory
chown: cannot access `/state/partition1/scratch/pbstmp.385842.rocks.hpc.ntnu.no': No such file or directory
p: 1
error: 7.35881e-08


n: 8192
time: 7946.875095ms
error: 1.83903e-08


n: 16384
time: 33227.061033ms
error: 4.59673e-09


t: 46
n: 16
time: 204.141140ms
error: 0.00565282


n: 32
time: 205.326796ms
error: 0.00131357


n: 64
time: 204.756975ms
error: 0.000315062


n: 128
time: 207.414865ms
error: 7.70483e-05


n: 256
time: 212.908030ms
error: 1.90444e-05


n: 512
time: 238.516092ms
error: 4.73371e-06


n: 1024
time: 342.578888ms
error: 1.17999e-06


n: 2048
time: 704.064846ms
error: 2.94568e-07


n: 4096
time: 2306.614876ms
error: 7.35881e-08


n: 8192
time: 8042.037010ms
error: 1.83903e-08


n: 16384
time: 32791.066885ms
error: 4.59673e-09


t: 47
n: 16
time: 205.991030ms
error: 0.00565282


n: 32
time: 205.102921ms
error: 0.00131357


n: 64
time: 204.991817ms
error: 0.000315062


n: 128
time: 208.676100ms
error: 7.70483e-05


n: 256
time: 214.075089ms
error: 1.90444e-05


n: 512
time: 238.792181ms
error: 4.73371e-06


n: 1024
time: 334.874868ms
error: 1.17999e-06


n: 2048
time: 728.477001ms
error: 2.94568e-07


n: 4096
time: 2371.029854ms
error: 7.35881e-08


n: 8192
time: 8082.469940ms
error: 1.83903e-08


n: 16384
time: 33797.656059ms
error: 4.59673e-09


t: 48
n: 16
time: 203.158855ms
error: 0.00565282


n: 32
time: 205.406904ms
error: 0.00131357


n: 64
time: 205.950975ms
error: 0.000315062


n: 128
time: 265.352964ms
error: 7.70483e-05


n: 256
time: 215.631008ms
error: 1.90444e-05


n: 512
time: 237.372875ms
error: 4.73371e-06


n: 1024
time: 315.075159ms
error: 1.17999e-06


n: 2048
time: 694.852114ms
error: 2.94568e-07


n: 4096
time: 2547.620058ms
error: 7.35881e-08


n: 8192
time: 8268.131971ms
error: 1.83903e-08


n: 16384
time: 33095.196962ms
error: 4.59673e-09


p: 2
t: 2
n: 16
time: 7.673025ms
error: 0.00342199


n: 32
time: 5.537987ms
error: 0.000731873


n: 64
time: 6.929159ms
error: 0.000166937


n: 128
time: 9.135962ms
error: 3.97006e-05


n: 256
time: 21.778107ms
error: 9.66927e-06


n: 512
time: 54.622173ms
error: 2.38524e-06


n: 1024
time: 171.005011ms
error: 5.92294e-07


n: 2048
time: 730.818033ms
error: 1.47571e-07


n: 4096
time: 3032.044172ms
error: 3.683e-08


n: 8192
time: 12708.458900ms
error: 9.19964e-09


n: 16384
time: 53898.782969ms
error: 2.29893e-09


t: 3
n: 16
time: 5.087137ms
error: 0.00342199


n: 32
time: 8.213997ms
error: 0.000731873


n: 64
time: 9.114981ms
error: 0.000166937


n: 128
time: 7.704973ms
error: 3.97006e-05


n: 256
time: 22.133112ms
error: 9.66927e-06


n: 512
time: 57.514906ms
error: 2.38524e-06


n: 1024
time: 149.343967ms
error: 5.92294e-07


n: 2048
time: 547.103167ms
error: 1.47571e-07


n: 4096
time: 2294.200182ms
error: 3.683e-08


n: 8192
time: 9427.983999ms
error: 9.19964e-09


n: 16384
time: 40026.684999ms
error: 2.29893e-09


t: 4
n: 16
time: 6.631136ms
error: 0.00342199


n: 32
time: 8.444071ms
error: 0.000731873


n: 64
time: 8.577108ms
error: 0.000166937


n: 128
time: 11.467934ms
error: 3.97006e-05


n: 256
time: 16.683102ms
error: 9.66927e-06


n: 512
time: 46.044111ms
error: 2.38524e-06


n: 1024
time: 131.201982ms
error: 5.92294e-07


n: 2048
time: 460.724115ms
error: 1.47571e-07


n: 4096
time: 1920.644999ms
error: 3.683e-08


n: 8192
time: 7828.856945ms
error: 9.19964e-09


n: 16384
time: 33011.008978ms
error: 2.29893e-09


t: 5
n: 16
time: 9.498119ms
error: 0.00342199


n: 32
time: 7.936954ms
error: 0.000731873


n: 64
time: 10.625124ms
error: 0.000166937


n: 128
time: 10.470867ms
error: 3.97006e-05


n: 256
time: 18.508911ms
error: 9.66927e-06


n: 512
time: 41.888952ms
error: 2.38524e-06


n: 1024
time: 116.714001ms
error: 5.92294e-07


n: 2048
time: 416.726112ms
error: 1.47571e-07


n: 4096
time: 1716.911077ms
error: 3.683e-08


n: 8192
time: 6995.884895ms
error: 9.19964e-09


n: 16384
time: 29093.641996ms
error: 2.29893e-09


t: 6
n: 16
time: 44.450998ms
error: 0.00342199


n: 32
time: 33.577919ms
error: 0.000731873


n: 64
time: 54.749012ms
error: 0.000166937


n: 128
time: 39.988995ms
error: 3.97006e-05


n: 256
time: 37.892103ms
error: 9.66927e-06


n: 512
time: 54.226875ms
error: 2.38524e-06


n: 1024
time: 120.867968ms
error: 5.92294e-07


n: 2048
time: 381.182909ms
error: 1.47571e-07


n: 4096
time: 1538.511038ms
error: 3.683e-08


n: 8192
time: 6147.404194ms
error: 9.19964e-09


n: 16384
time: 26013.684988ms
error: 2.29893e-09


t: 7
n: 16
time: 208.205938ms
error: 0.00342199


n: 32
time: 207.922935ms
error: 0.000731873


n: 64
time: 207.029819ms
error: 0.000166937


n: 128
time: 207.864046ms
error: 3.97006e-05


n: 256
time: 210.464954ms
error: 9.66927e-06


n: 512
time: 225.447893ms
error: 2.38524e-06


n: 1024
time: 441.272020ms
error: 5.92294e-07


n: 2048
time: 660.822868ms
error: 1.47571e-07


n: 4096
time: 1910.056114ms
error: 3.683e-08


n: 8192
time: 6988.959074ms
error: 9.19964e-09


n: 16384
time: 30204.579830ms
error: 2.29893e-09


t: 8
n: 16
time: 206.046104ms
error: 0.00342199


n: 32
time: 208.216906ms
error: 0.000731873


n: 64
time: 207.532883ms
error: 0.000166937


n: 128
time: 207.398891ms
error: 3.97006e-05


n: 256
time: 215.555906ms
error: 9.66927e-06


n: 512
time: 227.880955ms
error: 2.38524e-06


n: 1024
time: 350.034952ms
error: 5.92294e-07


n: 2048
time: 643.095970ms
error: 1.47571e-07


n: 4096
time: 2052.757025ms
error: 3.683e-08


n: 8192
time: 7813.743114ms
error: 9.19964e-09


n: 16384
time: 29584.456921ms
error: 2.29893e-09


t: 9
n: 16
time: 207.939148ms
error: 0.00342199


n: 32
time: 218.568087ms
error: 0.000731873


n: 64
time: 206.485987ms
error: 0.000166937


n: 128
time: 208.510876ms
error: 3.97006e-05


n: 256
time: 212.525129ms
error: 9.66927e-06


n: 512
time: 226.181030ms
error: 2.38524e-06


n: 1024
time: 294.576883ms
error: 5.92294e-07


n: 2048
time: 663.662195ms
error: 1.47571e-07


n: 4096
time: 1953.365088ms
error: 3.683e-08


n: 8192
time: 6817.595005ms
error: 9.19964e-09


n: 16384
time: 28657.812119ms
error: 2.29893e-09


t: 10
n: 16
time: 407.393217ms
error: 0.00342199


n: 32
time: 207.051992ms
error: 0.000731873


n: 64
time: 208.358049ms
error: 0.000166937


n: 128
time: 209.105015ms
error: 3.97006e-05


n: 256
time: 405.817986ms
error: 9.66927e-06


n: 512
time: 225.205898ms
error: 2.38524e-06


n: 1024
time: 343.549967ms
error: 5.92294e-07


n: 2048
time: 624.248028ms
error: 1.47571e-07


n: 4096
time: 1837.665081ms
error: 3.683e-08


n: 8192
time: 7346.693993ms
error: 9.19964e-09


n: 16384
time: 27498.657942ms
error: 2.29893e-09


t: 11
n: 16
time: 207.197905ms
error: 0.00342199


n: 32
time: 206.233978ms
error: 0.000731873


n: 64
time: 207.037926ms
error: 0.000166937


n: 128
time: 208.528042ms
error: 3.97006e-05


n: 256
time: 213.122129ms
error: 9.66927e-06


n: 512
time: 343.719006ms
error: 2.38524e-06


n: 1024
time: 477.604151ms
error: 5.92294e-07


n: 2048
time: 754.403114ms
error: 1.47571e-07


n: 4096
time: 1975.939035ms
error: 3.683e-08


n: 8192
time: 6683.243990ms
error: 9.19964e-09


n: 16384
time: 27422.714949ms
error: 2.29893e-09


t: 12
n: 16
time: 409.296036ms
error: 0.00342199


n: 32
time: 206.508875ms
error: 0.000731873


n: 64
time: 405.977011ms
error: 0.000166937


n: 128
time: 211.282015ms
error: 3.97006e-05


n: 256
time: 212.919950ms
error: 9.66927e-06


n: 512
time: 226.751089ms
error: 2.38524e-06


n: 1024
time: 293.191910ms
error: 5.92294e-07


n: 2048
time: 634.921074ms
error: 1.47571e-07


n: 4096
time: 2008.522987ms
error: 3.683e-08


n: 8192
time: 7069.807053ms
error: 9.19964e-09


n: 16384
time: 27795.844078ms
error: 2.29893e-09


t: 13
n: 16
time: 208.865881ms
error: 0.00342199


n: 32
time: 209.301233ms
error: 0.000731873


n: 64
time: 206.501007ms
error: 0.000166937


n: 128
time: 406.563044ms
error: 3.97006e-05


n: 256
time: 212.466002ms
error: 9.66927e-06


n: 512
time: 228.230000ms
error: 2.38524e-06


n: 1024
time: 293.828011ms
error: 5.92294e-07


n: 2048
time: 757.194042ms
error: 1.47571e-07


n: 4096
time: 1886.037827ms
error: 3.683e-08


n: 8192
time: 7296.864033ms
error: 9.19964e-09


n: 16384
time: 27502.928972ms
error: 2.29893e-09


t: 14
n: 16
time: 206.193924ms
error: 0.00342199


n: 32
time: 208.194971ms
error: 0.000731873


n: 64
time: 207.502127ms
error: 0.000166937


n: 128
time: 408.944130ms
error: 3.97006e-05


n: 256
time: 410.184145ms
error: 9.66927e-06


n: 512
time: 226.297140ms
error: 2.38524e-06


n: 1024
time: 363.252878ms
error: 5.92294e-07


n: 2048
time: 629.420996ms
error: 1.47571e-07


n: 4096
time: 1930.641890ms
error: 3.683e-08


n: 8192
time: 7322.963953ms
error: 9.19964e-09


n: 16384
time: 28149.263144ms
error: 2.29893e-09


t: 15
n: 16
time: 250.987053ms
error: 0.00342199


n: 32
time: 205.893040ms
error: 0.000731873


n: 64
time: 207.662106ms
error: 0.000166937


n: 128
time: 208.223820ms
error: 3.97006e-05


n: 256
time: 217.248917ms
error: 9.66927e-06


n: 512
time: 272.818089ms
error: 2.38524e-06


n: 1024
time: 299.630165ms
error: 5.92294e-07


n: 2048
time: 642.776966ms
error: 1.47571e-07


n: 4096
time: 1994.429111ms
error: 3.683e-08


n: 8192
time: 7365.054846ms
error: 9.19964e-09


n: 16384
time: 27254.583120ms
error: 2.29893e-09


t: 16
n: 16
time: 406.138897ms
error: 0.00342199


n: 32
time: 209.468842ms
error: 0.000731873


n: 64
time: 210.942984ms
error: 0.000166937


n: 128
time: 406.594992ms
error: 3.97006e-05


n: 256
time: 408.967972ms
error: 9.66927e-06


n: 512
time: 231.131077ms
error: 2.38524e-06


n: 1024
time: 304.153204ms
error: 5.92294e-07


n: 2048
time: 633.040905ms
error: 1.47571e-07


n: 4096
time: 2114.648819ms
error: 3.683e-08


n: 8192
time: 6968.558073ms
error: 9.19964e-09


n: 16384
time: 27889.088154ms
error: 2.29893e-09


t: 17
n: 16
time: 227.667093ms
error: 0.00342199


n: 32
time: 406.488895ms
error: 0.000731873


n: 64
time: 407.521963ms
error: 0.000166937


n: 128
time: 415.513992ms
error: 3.97006e-05


n: 256
time: 263.286114ms
error: 9.66927e-06


n: 512
time: 412.935019ms
error: 2.38524e-06


n: 1024
time: 479.908943ms
error: 5.92294e-07


n: 2048
time: 619.884014ms
error: 1.47571e-07


n: 4096
time: 1940.331936ms
error: 3.683e-08


n: 8192
time: 7410.967112ms
error: 9.19964e-09


n: 16384
time: 27643.962145ms
error: 2.29893e-09


t: 18
n: 16
time: 262.053013ms
error: 0.00342199


n: 32
time: 406.432867ms
error: 0.000731873


n: 64
time: 210.036993ms
error: 0.000166937


n: 128
time: 213.599920ms
error: 3.97006e-05


n: 256
time: 408.985138ms
error: 9.66927e-06


n: 512
time: 422.753096ms
error: 2.38524e-06


n: 1024
time: 304.555893ms
error: 5.92294e-07


n: 2048
time: 663.760900ms
error: 1.47571e-07


n: 4096
time: 2101.576090ms
error: 3.683e-08


n: 8192
time: 6871.303082ms
error: 9.19964e-09


n: 16384
time: 28444.352865ms
error: 2.29893e-09


t: 19
n: 16
time: 264.403105ms
error: 0.00342199


n: 32
time: 207.226992ms
error: 0.000731873


n: 64
time: 405.711174ms
error: 0.000166937


n: 128
time: 410.619020ms
error: 3.97006e-05


n: 256
time: 213.076830ms
error: 9.66927e-06


n: 512
time: 237.390995ms
error: 2.38524e-06


n: 1024
time: 312.698126ms
error: 5.92294e-07


n: 2048
time: 676.240921ms
error: 1.47571e-07


n: 4096
time: 2038.549900ms
error: 3.683e-08


n: 8192
time: 7244.767189ms
error: 9.19964e-09


n: 16384
time: 26627.606869ms
error: 2.29893e-09


t: 20
n: 16
time: 406.828880ms
error: 0.00342199


n: 32
time: 209.515095ms
error: 0.000731873


n: 64
time: 608.674049ms
error: 0.000166937


n: 128
time: 407.900810ms
error: 3.97006e-05


n: 256
time: 413.002014ms
error: 9.66927e-06


n: 512
time: 235.261917ms
error: 2.38524e-06


n: 1024
time: 320.762157ms
error: 5.92294e-07


n: 2048
time: 618.211985ms
error: 1.47571e-07


n: 4096
time: 2263.818026ms
error: 3.683e-08


n: 8192
time: 7014.190912ms
error: 9.19964e-09


n: 16384
time: 26977.573872ms
error: 2.29893e-09


t: 21
n: 16
time: 408.493996ms
error: 0.00342199


n: 32
time: 410.807133ms
error: 0.000731873


n: 64
time: 412.017107ms
error: 0.000166937


n: 128
time: 508.301973ms
error: 3.97006e-05


n: 256
time: 216.480970ms
error: 9.66927e-06


n: 512
time: 237.463236ms
error: 2.38524e-06


n: 1024
time: 303.475142ms
error: 5.92294e-07


n: 2048
time: 612.409115ms
error: 1.47571e-07


n: 4096
time: 2121.324778ms
error: 3.683e-08


n: 8192
time: 7382.669926ms
error: 9.19964e-09


n: 16384
time: 27761.654139ms
error: 2.29893e-09


t: 22
n: 16
time: 206.603050ms
error: 0.00342199


n: 32
time: 328.456879ms
error: 0.000731873


n: 64
time: 408.824921ms
error: 0.000166937


n: 128
time: 271.818876ms
error: 3.97006e-05


n: 256
time: 405.719995ms
error: 9.66927e-06


n: 512
time: 411.280870ms
error: 2.38524e-06


n: 1024
time: 436.465979ms
error: 5.92294e-07


n: 2048
time: 624.445200ms
error: 1.47571e-07


n: 4096
time: 1887.600899ms
error: 3.683e-08


n: 8192
time: 7043.338060ms
error: 9.19964e-09


n: 16384
time: 28566.416025ms
error: 2.29893e-09


t: 23
n: 16
time: 409.621954ms
error: 0.00342199


n: 32
time: 409.764051ms
error: 0.000731873


n: 64
time: 209.565163ms
error: 0.000166937


n: 128
time: 406.516075ms
error: 3.97006e-05


n: 256
time: 221.208096ms
error: 9.66927e-06


n: 512
time: 416.905880ms
error: 2.38524e-06


n: 1024
time: 310.637951ms
error: 5.92294e-07


n: 2048
time: 674.846888ms
error: 1.47571e-07


n: 4096
time: 1973.904133ms
error: 3.683e-08


n: 8192
time: 7075.504065ms
error: 9.19964e-09


n: 16384
time: 25375.921011ms
error: 2.29893e-09


t: 24
n: 16
time: 206.872940ms
error: 0.00342199


n: 32
time: 205.245972ms
error: 0.000731873


n: 64
time: 208.258152ms
error: 0.000166937


n: 128
time: 410.480976ms
error: 3.97006e-05


n: 256
time: 408.528090ms
error: 9.66927e-06


n: 512
time: 237.279892ms
error: 2.38524e-06


n: 1024
time: 309.237957ms
error: 5.92294e-07


n: 2048
time: 727.009058ms
error: 1.47571e-07


n: 4096
time: 1880.556107ms
error: 3.683e-08


n: 8192
time: 6649.263859ms
error: 9.19964e-09


n: 16384
time: 27491.269827ms
error: 2.29893e-09


p: 3
t: 2
n: 16
time: 10.264158ms
error: 0.00267815


n: 32
time: 8.867025ms
error: 0.000537962


n: 64
time: 10.775089ms
error: 0.000117562


n: 128
time: 13.362169ms
error: 2.72513e-05


n: 256
time: 21.085978ms
error: 6.54422e-06


n: 512
time: 50.285101ms
error: 1.60241e-06


n: 1024
time: 150.222063ms
error: 3.96394e-07


n: 2048
time: 526.537895ms
error: 9.85722e-08


n: 4096
time: 2247.018099ms
error: 2.45772e-08


n: 8192
time: 9241.976023ms
error: 6.13608e-09


n: 16384
time: 38579.981089ms
error: 1.53299e-09


t: 3
n: 16
time: 9.825945ms
error: 0.00267815


n: 32
time: 14.419079ms
error: 0.000537962


n: 64
time: 11.321068ms
error: 0.000117562


n: 128
time: 12.412071ms
error: 2.72513e-05


n: 256
time: 15.549898ms
error: 6.54422e-06


n: 512
time: 43.773174ms
error: 1.60241e-06


n: 1024
time: 117.914915ms
error: 3.96394e-07


n: 2048
time: 423.454046ms
error: 9.85722e-08


n: 4096
time: 1726.015806ms
error: 2.45772e-08


n: 8192
time: 7004.249811ms
error: 6.13608e-09


n: 16384
time: 29215.348005ms
error: 1.53299e-09


t: 4
n: 16
time: 44.823885ms
error: 0.00267815


n: 32
time: 37.456989ms
error: 0.000537962


n: 64
time: 43.509007ms
error: 0.000117562


n: 128
time: 33.133030ms
error: 2.72513e-05


n: 256
time: 30.986071ms
error: 6.54422e-06


n: 512
time: 42.115211ms
error: 1.60241e-06


n: 1024
time: 110.098839ms
error: 3.96394e-07


n: 2048
time: 354.654074ms
error: 9.85722e-08


n: 4096
time: 1528.702974ms
error: 2.45772e-08


n: 8192
time: 5913.448811ms
error: 6.13608e-09


n: 16384
time: 24514.602900ms
error: 1.53299e-09


t: 5
n: 16
time: 403.815985ms
error: 0.00267815


n: 32
time: 213.636875ms
error: 0.000537962


n: 64
time: 208.014011ms
error: 0.000117562


n: 128
time: 209.567070ms
error: 2.72513e-05


n: 256
time: 211.493969ms
error: 6.54422e-06


n: 512
time: 223.227024ms
error: 1.60241e-06


n: 1024
time: 353.198051ms
error: 3.96394e-07


n: 2048
time: 518.449068ms
error: 9.85722e-08


n: 4096
time: 1659.165859ms
error: 2.45772e-08


n: 8192
time: 7045.055866ms
error: 6.13608e-09


n: 16384
time: 26976.320982ms
error: 1.53299e-09


t: 6
n: 16
time: 208.819866ms
error: 0.00267815


n: 32
time: 224.793911ms
error: 0.000537962


n: 64
time: 306.886911ms
error: 0.000117562


n: 128
time: 220.535994ms
error: 2.72513e-05


n: 256
time: 406.466007ms
error: 6.54422e-06


n: 512
time: 308.224916ms
error: 1.60241e-06


n: 1024
time: 464.135885ms
error: 3.96394e-07


n: 2048
time: 597.707987ms
error: 9.85722e-08


n: 4096
time: 1701.943874ms
error: 2.45772e-08


n: 8192
time: 6774.524927ms
error: 6.13608e-09


n: 16384
time: 25715.385914ms
error: 1.53299e-09


t: 7
n: 16
time: 208.073854ms
error: 0.00267815


n: 32
time: 405.279875ms
error: 0.000537962


n: 64
time: 405.030012ms
error: 0.000117562


n: 128
time: 405.426025ms
error: 2.72513e-05


n: 256
time: 410.897970ms
error: 6.54422e-06


n: 512
time: 227.091074ms
error: 1.60241e-06


n: 1024
time: 289.918184ms
error: 3.96394e-07


n: 2048
time: 725.955009ms
error: 9.85722e-08


n: 4096
time: 1665.746927ms
error: 2.45772e-08


n: 8192
time: 6587.655067ms
error: 6.13608e-09


n: 16384
time: 25571.258068ms
error: 1.53299e-09


t: 8
n: 16
time: 207.156897ms
error: 0.00267815


n: 32
time: 267.591000ms
error: 0.000537962


n: 64
time: 406.454086ms
error: 0.000117562


n: 128
time: 208.752155ms
error: 2.72513e-05


n: 256
time: 212.493181ms
error: 6.54422e-06


n: 512
time: 410.158873ms
error: 1.60241e-06


n: 1024
time: 472.141981ms
error: 3.96394e-07


n: 2048
time: 690.925121ms
error: 9.85722e-08


n: 4096
time: 2002.533197ms
error: 2.45772e-08


n: 8192
time: 6422.351122ms
error: 6.13608e-09


n: 16384
time: 25547.749996ms
error: 1.53299e-09


t: 9
n: 16
time: 210.617065ms
error: 0.00267815


n: 32
time: 254.642010ms
error: 0.000537962


n: 64
time: 407.048941ms
error: 0.000117562


n: 128
time: 338.582039ms
error: 2.72513e-05


n: 256
time: 330.787897ms
error: 6.54422e-06


n: 512
time: 413.005114ms
error: 1.60241e-06


n: 1024
time: 288.205862ms
error: 3.96394e-07


n: 2048
time: 879.537106ms
error: 9.85722e-08


n: 4096
time: 1766.669989ms
error: 2.45772e-08


n: 8192
time: 6582.818031ms
error: 6.13608e-09


n: 16384
time: 25582.998037ms
error: 1.53299e-09


t: 10
n: 16
time: 209.630013ms
error: 0.00267815


n: 32
time: 219.255924ms
error: 0.000537962


n: 64
time: 409.025908ms
error: 0.000117562


n: 128
time: 407.858133ms
error: 2.72513e-05


n: 256
time: 409.780025ms
error: 6.54422e-06


n: 512
time: 429.589987ms
error: 1.60241e-06


n: 1024
time: 484.250069ms
error: 3.96394e-07


n: 2048
time: 585.330963ms
error: 9.85722e-08


n: 4096
time: 1909.712076ms
error: 2.45772e-08


n: 8192
time: 6777.589083ms
error: 6.13608e-09


n: 16384
time: 26747.580051ms
error: 1.53299e-09


t: 11
n: 16
time: 208.474159ms
error: 0.00267815


n: 32
time: 613.070011ms
error: 0.000537962


n: 64
time: 411.919117ms
error: 0.000117562


n: 128
time: 412.074089ms
error: 2.72513e-05


n: 256
time: 414.499998ms
error: 6.54422e-06


n: 512
time: 280.145168ms
error: 1.60241e-06


n: 1024
time: 427.739143ms
error: 3.96394e-07


n: 2048
time: 735.056877ms
error: 9.85722e-08


n: 4096
time: 2056.228161ms
error: 2.45772e-08


n: 8192
time: 7073.397875ms
error: 6.13608e-09


n: 16384
time: 26106.908083ms
error: 1.53299e-09


t: 12
n: 16
time: 608.556032ms
error: 0.00267815


n: 32
time: 609.858036ms
error: 0.000537962


n: 64
time: 407.884121ms
error: 0.000117562


n: 128
time: 408.670902ms
error: 2.72513e-05


n: 256
time: 505.980968ms
error: 6.54422e-06


n: 512
time: 612.528086ms
error: 1.60241e-06


n: 1024
time: 468.384027ms
error: 3.96394e-07


n: 2048
time: 589.149952ms
error: 9.85722e-08


n: 4096
time: 1832.278013ms
error: 2.45772e-08


n: 8192
time: 6311.218023ms
error: 6.13608e-09


n: 16384
time: 24851.356030ms
error: 1.53299e-09


t: 13
n: 16
time: 409.117937ms
error: 0.00267815


n: 32
time: 407.156944ms
error: 0.000537962


n: 64
time: 412.003040ms
error: 0.000117562


n: 128
time: 608.497858ms
error: 2.72513e-05


n: 256
time: 414.180994ms
error: 6.54422e-06


n: 512
time: 247.885942ms
error: 1.60241e-06


n: 1024
time: 496.736050ms
error: 3.96394e-07


n: 2048
time: 725.059986ms
error: 9.85722e-08


n: 4096
time: 1939.880133ms
error: 2.45772e-08


n: 8192
time: 6446.759224ms
error: 6.13608e-09


n: 16384
time: 25553.079128ms
error: 1.53299e-09


t: 14
n: 16
time: 601.664066ms
error: 0.00267815


n: 32
time: 410.233021ms
error: 0.000537962


n: 64
time: 406.124115ms
error: 0.000117562


n: 128
time: 610.574007ms
error: 2.72513e-05


n: 256
time: 408.159018ms
error: 6.54422e-06


n: 512
time: 420.526028ms
error: 1.60241e-06


n: 1024
time: 435.029984ms
error: 3.96394e-07


n: 2048
time: 782.071829ms
error: 9.85722e-08


n: 4096
time: 2037.374973ms
error: 2.45772e-08


n: 8192
time: 6693.165779ms
error: 6.13608e-09


n: 16384
time: 23965.807915ms
error: 1.53299e-09


t: 15
n: 16
time: 410.459995ms
error: 0.00267815


n: 32
time: 410.297155ms
error: 0.000537962


n: 64
time: 607.589960ms
error: 0.000117562


n: 128
time: 410.022974ms
error: 2.72513e-05


n: 256
time: 410.609961ms
error: 6.54422e-06


n: 512
time: 422.853947ms
error: 1.60241e-06


n: 1024
time: 637.266874ms
error: 3.96394e-07


n: 2048
time: 601.993084ms
error: 9.85722e-08


n: 4096
time: 1883.430958ms
error: 2.45772e-08


n: 8192
time: 6447.075844ms
error: 6.13608e-09


n: 16384
time: 25773.663044ms
error: 1.53299e-09


t: 16
n: 16
time: 534.142971ms
error: 0.00267815


n: 32
time: 411.410093ms
error: 0.000537962


n: 64
time: 609.561920ms
error: 0.000117562


n: 128
time: 410.851002ms
error: 2.72513e-05


n: 256
time: 412.724972ms
error: 6.54422e-06


n: 512
time: 426.403999ms
error: 1.60241e-06


n: 1024
time: 631.196022ms
error: 3.96394e-07


n: 2048
time: 690.313101ms
error: 9.85722e-08


n: 4096
time: 2001.686096ms
error: 2.45772e-08


n: 8192
time: 6312.942982ms
error: 6.13608e-09


n: 16384
time: 25129.538059ms
error: 1.53299e-09


p: 4
t: 2
n: 16
[compute-0-29:23068] *** Process received signal ***
[compute-0-29:23068] Signal: Floating point exception (8)
[compute-0-29:23068] Signal code: Integer divide-by-zero (1)
[compute-0-29:23068] Failing at address: 0x40a863
[compute-0-29:23068] [ 0] /lib64/libpthread.so.0 [0x309b40ebe0]
[compute-0-29:23068] [ 1] ../../../release_omp_mpi/ex6(main+0x4e3) [0x40a863]
[compute-0-29:23068] [ 2] /lib64/libc.so.6(__libc_start_main+0xf4) [0x309ac1d994]
[compute-0-29:23068] [ 3] ../../../release_omp_mpi/ex6 [0x40a2c9]
[compute-0-29:23068] *** End of error message ***
--------------------------------------------------------------------------
mpirun noticed that process rank 0 with PID 23068 on node compute-0-29.local exited on signal 8 (Floating point exception).
--------------------------------------------------------------------------
[compute-0-25.local][[17508,1],4][btl_tcp_endpoint.c:456:mca_btl_tcp_endpoint_recv_blocking] recv(8) failed: Connection reset by peer (104)
[compute-0-29:23069] *** Process received signal ***
[compute-0-29:23069] Signal: Aborted (6)
[compute-0-29:23069] Signal code:  (-6)
[compute-0-29:23070] *** Process received signal ***
[compute-0-29:23070] Signal: Aborted (6)
[compute-0-29:23070] Signal code:  (-6)
[compute-0-29:23071] *** Process received signal ***
[compute-0-3.local][[17508,1],8][btl_tcp_endpoint.c:456:mca_btl_tcp_endpoint_recv_blocking] recv(8) failed: Connection reset by peer (104)
[compute-0-29:23071] Signal: Aborted (6)
[compute-0-29:23071] Signal code:  (-6)
[compute-0-25:11337] *** Process received signal ***
[compute-0-29:23069] [ 0] /lib64/libpthread.so.0 [0x309b40ebe0]
[compute-0-29:23069] [ 1] /lib64/libc.so.6(gsignal+0x35) [0x309ac30285]
[compute-0-29:23069] [ 2] /lib64/libc.so.6(abort+0x110) [0x309ac31d30]
